iter	MAE
0	4.961520377
1	4.922598527
2	4.883641169
3	4.846879541
4	4.811415796
5	4.776947147
6	4.739220513
7	4.702627203
8	4.669564442
9	4.633194819
10	4.600142263
11	4.565067383
12	4.533361071
13	4.499113406
14	4.464434551
15	4.432228702
16	4.399504018
17	4.368414964
18	4.336064387
19	4.302254612
20	4.272927697
21	4.240293549
22	4.207232885
23	4.175480023
24	4.148207206
25	4.118147797
26	4.09158506
27	4.062969535
28	4.033784122
29	4.004476209
30	3.976188721
31	3.94796685
32	3.921131642
33	3.896292668
34	3.870136452
35	3.845125129
36	3.818790711
37	3.792196905
38	3.766670098
39	3.741561128
40	3.717066054
41	3.693205617
42	3.667092955
43	3.642204238
44	3.618121259
45	3.594716379
46	3.570594236
47	3.545365478
48	3.522128325
49	3.499497032
50	3.477770069
51	3.454624599
52	3.434530974
53	3.411492657
54	3.392122517
55	3.372298585
56	3.351481883
57	3.332337315
58	3.311736713
59	3.291709291
60	3.270491482
61	3.251024626
62	3.229908742
63	3.211943996
64	3.192581891
65	3.173551932
66	3.154624818
67	3.136427114
68	3.119311326
69	3.100517224
70	3.083383364
71	3.065064255
72	3.047884954
73	3.030763498
74	3.012575925
75	2.995216477
76	2.978498593
77	2.962376612
78	2.944818584
79	2.929570362
80	2.914734835
81	2.89938351
82	2.883349177
83	2.867053822
84	2.850626035
85	2.8340146
86	2.819353104
87	2.803670718
88	2.789529504
89	2.774873573
90	2.759089171
91	2.745450795
92	2.731028346
93	2.718874461
94	2.705041895
95	2.691086371
96	2.677766576
97	2.664039797
98	2.650596364
99	2.63808814
100	2.626906569
101	2.614334013
102	2.602108524
103	2.58928708
104	2.577065435
105	2.565349146
106	2.553407154
107	2.540872927
108	2.528819145
109	2.519148642
110	2.50703927
111	2.495366419
112	2.484312851
113	2.474453356
114	2.46410905
115	2.453149279
116	2.44353726
117	2.432196989
118	2.421634314
119	2.4114296
120	2.401364513
121	2.39130294
122	2.380047048
123	2.369583553
124	2.359392698
125	2.350162106
126	2.341504683
127	2.331578223
128	2.322207642
129	2.313135226
130	2.304491174
131	2.294556632
132	2.284923837
133	2.276243635
134	2.268056583
135	2.259244109
136	2.251468073
137	2.244104697
138	2.236847891
139	2.229907453
140	2.221483055
141	2.213833941
142	2.206042228
143	2.198391779
144	2.190934524
145	2.183513246
146	2.175773808
147	2.168100567
148	2.162522866
149	2.154941774
150	2.147446426
151	2.142176616
152	2.134506524
153	2.128207965
154	2.121766317
155	2.11542228
156	2.10932952
157	2.102905143
158	2.094692142
159	2.087334187
160	2.080043436
161	2.073263908
162	2.067550755
163	2.061645542
164	2.056367862
165	2.049967453
166	2.043825754
167	2.040578461
168	2.0350037
169	2.028260152
170	2.021430088
171	2.015000149
172	2.007663935
173	2.00201037
174	1.996805424
175	1.991343341
176	1.986014448
177	1.979135096
178	1.974338493
179	1.969117384
180	1.963966898
181	1.959141729
182	1.954301509
183	1.949474157
184	1.944855567
185	1.939821967
186	1.934148894
187	1.929108893
188	1.923213931
189	1.918596628
190	1.914083963
191	1.909207087
192	1.904742178
193	1.899689704
194	1.895186159
195	1.890767131
196	1.885981843
197	1.881523343
198	1.877236817
199	1.873197077
200	1.869068108
201	1.864149414
202	1.860274736
203	1.856199592
204	1.851888996
205	1.847344582
206	1.843129707
207	1.838546412
208	1.834968295
209	1.831427348
210	1.827530532
211	1.823556145
212	1.819657796
213	1.81619531
214	1.812178394
215	1.808189603
216	1.803810587
217	1.800343845
218	1.79611571
219	1.791764425
220	1.78823453
221	1.783882537
222	1.780358066
223	1.777281762
224	1.77402403
225	1.77126794
226	1.766958974
227	1.763613162
228	1.75996705
229	1.756487828
230	1.753266306
231	1.749960672
232	1.746112074
233	1.74328496
234	1.739219363
235	1.73566926
236	1.732709848
237	1.729852675
238	1.726780275
239	1.722976088
240	1.719052879
241	1.716101686
242	1.713040138
243	1.710084141
244	1.706529031
245	1.703476891
246	1.700712985
247	1.697778075
248	1.695371412
249	1.691995943
250	1.688503045
251	1.685509639
252	1.683208764
253	1.680692462
254	1.677893516
255	1.675133578
256	1.672186864
257	1.669713652
258	1.66664978
259	1.664082396
260	1.661578349
261	1.658148093
262	1.655721914
263	1.653422658
264	1.650890886
265	1.648584299
266	1.646150206
267	1.643943384
268	1.641396685
269	1.638032708
270	1.635304655
271	1.632441654
272	1.629500629
273	1.627260871
274	1.62526018
275	1.62338092
276	1.62105537
277	1.618467426
278	1.615964161
279	1.61419977
280	1.612036154
281	1.610106228
282	1.607385195
283	1.605023309
284	1.60260319
285	1.600770259
286	1.598340245
287	1.596069294
288	1.594049458
289	1.592278195
290	1.590595632
291	1.588387391
292	1.586443338
293	1.583835623
294	1.581884222
295	1.579996744
296	1.578080665
297	1.576537581
298	1.575447612
299	1.572580426
300	1.570743798
301	1.567966063
302	1.565525489
303	1.564258628
304	1.562422242
305	1.560820731
306	1.558785962
307	1.556918133
308	1.555560998
309	1.553663372
310	1.552124665
311	1.550532277
312	1.548536278
313	1.546566383
314	1.54522979
315	1.543732278
316	1.542041521
317	1.540624469
318	1.538636968
319	1.536601451
320	1.535111456
321	1.532886805
322	1.530842125
323	1.529444384
324	1.527032349
325	1.525237909
326	1.523662499
327	1.521944599
328	1.520517812
329	1.518980094
330	1.517936559
331	1.515589629
332	1.514021684
333	1.512392707
334	1.510380313
335	1.508207175
336	1.506008078
337	1.504715192
338	1.503352159
339	1.50241479
340	1.500952028
341	1.499463831
342	1.497833504
343	1.496399489
344	1.494747818
345	1.493550833
346	1.492354616
347	1.491199421
348	1.489909712
349	1.488766214
350	1.487785336
351	1.486135045
352	1.485214028
353	1.483575963
354	1.481363038
355	1.479533473
356	1.478154115
357	1.476413325
358	1.475456141
359	1.474692085
360	1.473187092
361	1.471348649
362	1.469707893
363	1.468729952
364	1.467093542
365	1.466255684
366	1.464417483
367	1.462583755
368	1.461289525
369	1.459952721
370	1.458759553
371	1.457805244
372	1.456569148
373	1.45476244
374	1.453708066
375	1.451735665
376	1.450730251
377	1.448939484
378	1.447944694
379	1.446779545
380	1.445453886
381	1.444425076
382	1.443594443
383	1.442073681
384	1.441500997
385	1.440342282
386	1.43909821
387	1.438093119
388	1.436995555
389	1.435202199
390	1.434209566
391	1.433417333
392	1.432556217
393	1.431214813
394	1.429926452
395	1.428861247
396	1.427645223
397	1.425696312
398	1.424718665
399	1.423117135
400	1.421522893
401	1.420350332
402	1.418908548
403	1.418299678
404	1.416899884
405	1.415803248
406	1.414532535
407	1.413503262
408	1.412158151
409	1.411371647
410	1.410561076
411	1.409478346
412	1.408147827
413	1.407270541
414	1.405722093
415	1.404364283
416	1.402306952
417	1.401003002
418	1.399249252
419	1.398495579
420	1.396690091
421	1.395448216
422	1.394482493
423	1.393747868
424	1.392555481
425	1.391740603
426	1.391081132
427	1.390010337
428	1.389226571
429	1.38816169
430	1.387340959
431	1.385257814
432	1.384121992
433	1.383693278
434	1.38308687
435	1.382247664
436	1.381352103
437	1.380678625
438	1.380067015
439	1.379243853
440	1.378566111
441	1.377640193
442	1.376977454
443	1.376064945
444	1.37496792
445	1.374118901
446	1.373158555
447	1.372537373
448	1.371164461
449	1.370437803
450	1.369774726
451	1.369257458
452	1.368196578
453	1.367258555
454	1.366522976
455	1.365784838
456	1.365027616
457	1.364515081
458	1.363858596
459	1.363121334
460	1.361679258
461	1.360803046
462	1.360685768
463	1.360070907
464	1.359465834
465	1.358438191
466	1.356710341
467	1.35580395
468	1.35489401
469	1.354042494
470	1.353254569
471	1.352349111
472	1.351011587
473	1.350371264
474	1.349206622
475	1.34878437
476	1.347829829
477	1.346298996
478	1.345218173
479	1.344020963
480	1.343145996
481	1.342352917
482	1.341387458
483	1.340398352
484	1.339652184
485	1.338675623
486	1.337745592
487	1.336971186
488	1.335864994
489	1.335102621
490	1.334512768
491	1.333830355
492	1.333127078
493	1.331946818
494	1.331230806
495	1.33048467
496	1.329887344
497	1.328684016
498	1.327958648
499	1.327054679
500	1.326070636
501	1.325505197
502	1.324616132
503	1.323537112
504	1.32311488
505	1.322340769
506	1.321775837
507	1.320480032
508	1.319820532
509	1.319475769
510	1.318708733
511	1.318135217
512	1.317808368
513	1.317337582
514	1.316708311
515	1.315955057
516	1.315017067
517	1.314272797
518	1.313680867
519	1.312552031
520	1.311197365
521	1.310299091
522	1.309054128
523	1.308128579
524	1.307790616
525	1.307158657
526	1.306391326
527	1.305674958
528	1.30517418
529	1.304495
530	1.303886066
531	1.303176953
532	1.302456855
533	1.301776521
534	1.301015582
535	1.300053015
536	1.299458988
537	1.298458417
538	1.29769435
539	1.296818076
540	1.296296789
541	1.295570904
542	1.294613528
543	1.29389968
544	1.293097454
545	1.292691843
546	1.291696514
547	1.290449568
548	1.290228167
549	1.289542059
550	1.28857104
551	1.287937332
552	1.287340453
553	1.286584939
554	1.286120609
555	1.285048373
556	1.284280264
557	1.283758429
558	1.282520444
559	1.281556398
560	1.280914998
561	1.279719966
562	1.279044698
563	1.277853786
564	1.276916168
565	1.275660726
566	1.27460808
567	1.273633873
568	1.273071779
569	1.272467068
570	1.271452569
571	1.270979155
572	1.270249246
573	1.268966557
574	1.267874793
575	1.266890701
576	1.266201759
577	1.264881975
578	1.264681966
579	1.263561537
580	1.262963605
581	1.262005279
582	1.26140119
583	1.259917721
584	1.259183414
585	1.258873083
586	1.258500325
587	1.257656131
588	1.25689517
589	1.256232256
590	1.255446746
591	1.254962065
592	1.254113781
593	1.253608283
594	1.252797614
595	1.252335356
596	1.251244022
597	1.250469804
598	1.249504876
599	1.248476596
600	1.247953386
601	1.247636062
602	1.247140007
603	1.246283472
604	1.245500905
605	1.244663141
606	1.244157322
607	1.243693041
608	1.243018578
609	1.242148307
610	1.241104053
611	1.240788301
612	1.240534057
613	1.239723166
614	1.239217928
615	1.238191222
616	1.237283682
617	1.236647705
618	1.235855481
619	1.234731825
620	1.233912306
621	1.23340051
622	1.232683875
623	1.231582091
624	1.230631367
625	1.229473335
626	1.228548539
627	1.227996237
628	1.227360829
629	1.226870263
630	1.226341979
631	1.225550308
632	1.224628131
633	1.223887019
634	1.223227137
635	1.222652686
636	1.222256475
637	1.221591895
638	1.220994273
639	1.2204476
640	1.219846145
641	1.219285882
642	1.218780088
643	1.217843244
644	1.217237828
645	1.215942658
646	1.215243388
647	1.215026308
648	1.214341207
649	1.213552603
650	1.212944226
651	1.211945912
652	1.211012594
653	1.209589566
654	1.208602347
655	1.207974829
656	1.207518194
657	1.207163375
658	1.206501115
659	1.205550112
660	1.205111523
661	1.204374091
662	1.203573974
663	1.203360256
664	1.201776716
665	1.201372097
666	1.200515388
667	1.199354673
668	1.199024445
669	1.19797408
670	1.197538383
671	1.197095192
672	1.196715327
673	1.195839878
674	1.195080856
675	1.194177543
676	1.193331892
677	1.192954578
678	1.191641024
679	1.19050422
680	1.189727353
681	1.18850459
682	1.18776705
683	1.187043744
684	1.185772637
685	1.184979067
686	1.184616646
687	1.184167311
688	1.183329854
689	1.182951861
690	1.182737824
691	1.18174259
692	1.180987648
693	1.180562845
694	1.179798106
695	1.178280527
696	1.177577068
697	1.176796253
698	1.176311986
699	1.175278418
700	1.174503173
701	1.174041189
702	1.173372727
703	1.172857358
704	1.171965483
705	1.170502154
706	1.169555436
707	1.169112228
708	1.168625739
709	1.167967575
710	1.167241495
711	1.165829839
712	1.165371657
713	1.164358472
714	1.163898307
715	1.163431289
716	1.162806498
717	1.162119379
718	1.161155917
719	1.160838164
720	1.160112076
721	1.159770741
722	1.158619877
723	1.157651786
724	1.157390908
725	1.15656255
726	1.15635137
727	1.155717861
728	1.155242925
729	1.154153812
730	1.153224383
731	1.152320573
732	1.151428415
733	1.151077885
734	1.150645926
735	1.149576922
736	1.148319844
737	1.14795814
738	1.147375052
739	1.146584204
740	1.146066104
741	1.14569448
742	1.14526229
743	1.144707732
744	1.144170246
745	1.143395821
746	1.142857581
747	1.141678954
748	1.140984212
749	1.139520863
750	1.13893518
751	1.138580571
752	1.13769833
753	1.137222372
754	1.135954014
755	1.134859034
756	1.134477769
757	1.133774135
758	1.133462042
759	1.132784143
760	1.131758663
761	1.131148962
762	1.130357314
763	1.129579238
764	1.128856248
765	1.12813668
766	1.127598044
767	1.126856104
768	1.126639927
769	1.125986812
770	1.125284043
771	1.124576013
772	1.124279107
773	1.123796972
774	1.123599698
775	1.123075276
776	1.122078589
777	1.12135448
778	1.12082462
779	1.119805467
780	1.118477302
781	1.117539101
782	1.116822642
783	1.116498999
784	1.116183493
785	1.115206019
786	1.11481645
787	1.113966295
788	1.112805012
789	1.11223345
790	1.111531083
791	1.111171622
792	1.110970778
793	1.109589065
794	1.108333183
795	1.10765229
796	1.107008192
797	1.105928186
798	1.105345359
799	1.104970005
800	1.104533153
801	1.10412693
802	1.103531002
803	1.103322335
804	1.102989746
805	1.102844717
806	1.102376077
807	1.101386158
808	1.100976021
809	1.100674206
810	1.099411532
811	1.099175867
812	1.098289129
813	1.097542937
814	1.096525699
815	1.09635804
816	1.095812654
817	1.094870209
818	1.094479585
819	1.093845868
820	1.09339535
821	1.093192137
822	1.092634319
823	1.092094688
824	1.091445673
825	1.091179585
826	1.090584119
827	1.090287109
828	1.089285921
829	1.089036819
830	1.088733562
831	1.088177348
832	1.087874793
833	1.086871931
834	1.086468734
835	1.086193798
836	1.085181892
837	1.084083284
838	1.083223288
839	1.082729636
840	1.082145954
841	1.081469853
842	1.081234147
843	1.080939791
844	1.080691493
845	1.079700093
846	1.079614047
847	1.079316994
848	1.079102924
849	1.078812738
850	1.077945607
851	1.077435223
852	1.077249775
853	1.076719262
854	1.076253859
855	1.075745253
856	1.075591741
857	1.07533284
858	1.074400401
859	1.07409881
860	1.073858214
861	1.073629592
862	1.073356179
863	1.073193302
864	1.072657389
865	1.071917277
866	1.071549731
867	1.071077296
868	1.070743523
869	1.0703697
870	1.069704107
871	1.069191213
872	1.068751865
873	1.068557415
874	1.067843247
875	1.067283883
876	1.06627189
877	1.065033601
878	1.064117945
879	1.063956417
880	1.06251156
881	1.062126006
882	1.061567441
883	1.061167035
884	1.060270095
885	1.059665356
886	1.058668353
887	1.05768115
888	1.056890157
889	1.056232173
890	1.055667579
891	1.055014212
892	1.05438354
893	1.053818834
894	1.052853709
895	1.052377666
896	1.052078786
897	1.051514602
898	1.050965232
899	1.050363255
900	1.049450733
901	1.048513606
902	1.048023156
903	1.04790512
904	1.047469895
905	1.047213834
906	1.046840524
907	1.046667591
908	1.04651935
909	1.046027037
910	1.045298009
911	1.044529427
912	1.044048362
913	1.043624525
914	1.043174937
915	1.042947416
916	1.042194778
917	1.042073021
918	1.041289537
919	1.041126416
920	1.040692919
921	1.039772438
922	1.038862572
923	1.037952072
924	1.037535942
925	1.036692827
926	1.036354589
927	1.035960906
928	1.0357763
929	1.035633697
930	1.035212765
931	1.034672344
932	1.034325747
933	1.033903711
934	1.03327398
935	1.032557254
936	1.032249177
937	1.032123826
938	1.031538912
939	1.030833397
940	1.029940038
941	1.029243628
942	1.028885278
943	1.028398431
944	1.028037211
945	1.027066981
946	1.026648531
947	1.026167891
948	1.026000412
949	1.025473412
950	1.024770511
951	1.024535115
952	1.023799123
953	1.02351059
954	1.022068247
955	1.021657897
956	1.021384381
957	1.021175927
958	1.020749062
959	1.020053373
960	1.019557698
961	1.019032604
962	1.018752893
963	1.018473776
964	1.018044378
965	1.017935803
966	1.017232158
967	1.01586569
968	1.015328062
969	1.015214078
970	1.015079066
971	1.014731178
972	1.01450419
973	1.014361065
974	1.014222386
975	1.013447478
976	1.01273064
977	1.0121754
978	1.011314873
979	1.010884593
980	1.009946207
981	1.009612015
982	1.00921279
983	1.009047603
984	1.008800267
985	1.008568687
986	1.008415598
987	1.00767772
988	1.007028687
989	1.00600273
990	1.00575393
991	1.005373369
992	1.005065388
993	1.004659114
994	1.004435126
995	1.00400145
996	1.003779568
997	1.003079958
998	1.002465939
999	1.002168905
