event_id,event,driver_id,driver,predicted_pos,actual_pos,error,chaos_score,race_category,driver_affected,year
54,2025 R1 Australian Grand Prix,11,Lando Norris,1.0,1,0.0,1.5,chaotic,False,2025
61,2025 R2 Chinese Grand Prix,18,Oscar Piastri,1.0,1,0.0,0.4,moderate,False,2025
55,2025 R3 Japanese Grand Prix,1,Max Verstappen,1.0,1,0.0,0.0,clean,False,2025
56,2025 R4 Bahrain Grand Prix,18,Oscar Piastri,1.0,1,0.0,0.30000000000000004,moderate,False,2025
57,2025 R5 Saudi Arabian Grand Prix,18,Oscar Piastri,1.0,1,0.0,0.5,moderate,False,2025
60,2025 R6 Miami Grand Prix,18,Oscar Piastri,1.0,1,0.0,1.0,chaotic,False,2025
58,2025 R7 Emilia Romagna Grand Prix,18,Oscar Piastri,1.0,3,2.0,0.5,moderate,False,2025
59,2025 R8 Monaco Grand Prix,11,Lando Norris,1.0,1,0.0,0.5,moderate,False,2025
77,2025 R9 Spanish Grand Prix,18,Oscar Piastri,1.0,1,0.0,0.5263157894736842,moderate,False,2025
78,2025 R10 Canadian Grand Prix,6,George Russell,1.0,1,0.0,0.75,chaotic,False,2025
79,2025 R11 Austrian Grand Prix,11,Lando Norris,1.0,1,0.0,0.75,chaotic,False,2025
80,2025 R12 British Grand Prix,11,Lando Norris,1.0,1,0.0,1.0,chaotic,False,2025
81,2025 R13 Belgian Grand Prix,18,Oscar Piastri,1.0,1,0.0,0.0,clean,False,2025
82,2025 R14 Hungarian Grand Prix,11,Lando Norris,1.0,1,0.0,0.25,moderate,False,2025
54,2025 R1 Australian Grand Prix,1,Max Verstappen,2.0,2,0.0,1.5,chaotic,False,2025
61,2025 R2 Chinese Grand Prix,11,Lando Norris,2.0,2,0.0,0.4,moderate,False,2025
55,2025 R3 Japanese Grand Prix,11,Lando Norris,2.0,2,0.0,0.0,clean,False,2025
56,2025 R4 Bahrain Grand Prix,6,George Russell,2.0,2,0.0,0.30000000000000004,moderate,False,2025
57,2025 R5 Saudi Arabian Grand Prix,1,Max Verstappen,2.0,2,0.0,0.5,moderate,False,2025
60,2025 R6 Miami Grand Prix,11,Lando Norris,2.0,2,0.0,1.0,chaotic,False,2025
58,2025 R7 Emilia Romagna Grand Prix,1,Max Verstappen,2.0,1,1.0,0.5,moderate,False,2025
59,2025 R8 Monaco Grand Prix,3,Charles Leclerc,2.0,2,0.0,0.5,moderate,False,2025
77,2025 R9 Spanish Grand Prix,11,Lando Norris,2.0,2,0.0,0.5263157894736842,moderate,False,2025
78,2025 R10 Canadian Grand Prix,1,Max Verstappen,2.0,2,0.0,0.75,chaotic,False,2025
79,2025 R11 Austrian Grand Prix,3,Charles Leclerc,2.0,3,1.0,0.75,chaotic,False,2025
80,2025 R12 British Grand Prix,18,Oscar Piastri,2.0,2,0.0,1.0,chaotic,False,2025
81,2025 R13 Belgian Grand Prix,11,Lando Norris,2.0,2,0.0,0.0,clean,False,2025
82,2025 R14 Hungarian Grand Prix,18,Oscar Piastri,2.0,2,0.0,0.25,moderate,False,2025
54,2025 R1 Australian Grand Prix,6,George Russell,3.0,3,0.0,1.5,chaotic,False,2025
61,2025 R2 Chinese Grand Prix,6,George Russell,3.0,3,0.0,0.4,moderate,False,2025
55,2025 R3 Japanese Grand Prix,18,Oscar Piastri,3.0,3,0.0,0.0,clean,False,2025
56,2025 R4 Bahrain Grand Prix,3,Charles Leclerc,3.0,4,1.0,0.30000000000000004,moderate,False,2025
57,2025 R5 Saudi Arabian Grand Prix,6,George Russell,3.0,5,2.0,0.5,moderate,False,2025
60,2025 R6 Miami Grand Prix,1,Max Verstappen,3.0,4,1.0,1.0,chaotic,False,2025
58,2025 R7 Emilia Romagna Grand Prix,11,Lando Norris,3.0,2,1.0,0.5,moderate,False,2025
59,2025 R8 Monaco Grand Prix,18,Oscar Piastri,3.0,3,0.0,0.5,moderate,False,2025
77,2025 R9 Spanish Grand Prix,1,Max Verstappen,3.0,10,7.0,0.5263157894736842,moderate,False,2025
78,2025 R10 Canadian Grand Prix,18,Oscar Piastri,3.0,4,1.0,0.75,chaotic,False,2025
79,2025 R11 Austrian Grand Prix,18,Oscar Piastri,3.0,2,1.0,0.75,chaotic,False,2025
80,2025 R12 British Grand Prix,1,Max Verstappen,3.0,5,2.0,1.0,chaotic,False,2025
81,2025 R13 Belgian Grand Prix,3,Charles Leclerc,3.0,3,0.0,0.0,clean,False,2025
82,2025 R14 Hungarian Grand Prix,6,George Russell,3.0,3,0.0,0.25,moderate,False,2025
54,2025 R1 Australian Grand Prix,14,Yuki Tsunoda,4.0,12,8.0,1.5,chaotic,False,2025
61,2025 R2 Chinese Grand Prix,1,Max Verstappen,4.0,4,0.0,0.4,moderate,False,2025
55,2025 R3 Japanese Grand Prix,6,George Russell,4.0,5,1.0,0.0,clean,False,2025
56,2025 R4 Bahrain Grand Prix,11,Lando Norris,4.0,3,1.0,0.30000000000000004,moderate,False,2025
57,2025 R5 Saudi Arabian Grand Prix,3,Charles Leclerc,4.0,3,1.0,0.5,moderate,False,2025
60,2025 R6 Miami Grand Prix,29,Kimi Antonelli,4.0,6,2.0,1.0,chaotic,False,2025
58,2025 R7 Emilia Romagna Grand Prix,6,George Russell,4.0,7,3.0,0.5,moderate,False,2025
59,2025 R8 Monaco Grand Prix,7,Lewis Hamilton,4.0,5,1.0,0.5,moderate,False,2025
77,2025 R9 Spanish Grand Prix,6,George Russell,4.0,4,0.0,0.5263157894736842,moderate,False,2025
78,2025 R10 Canadian Grand Prix,29,Kimi Antonelli,4.0,3,1.0,0.75,chaotic,False,2025
79,2025 R11 Austrian Grand Prix,7,Lewis Hamilton,4.0,4,0.0,0.75,chaotic,False,2025
80,2025 R12 British Grand Prix,6,George Russell,4.0,10,6.0,1.0,chaotic,False,2025
81,2025 R13 Belgian Grand Prix,1,Max Verstappen,4.0,4,0.0,0.0,clean,False,2025
82,2025 R14 Hungarian Grand Prix,3,Charles Leclerc,4.0,4,0.0,0.25,moderate,False,2025
54,2025 R1 Australian Grand Prix,15,Alexander Albon,5.0,5,0.0,1.5,chaotic,False,2025
61,2025 R2 Chinese Grand Prix,3,Charles Leclerc,5.0,18,13.0,0.4,moderate,True,2025
55,2025 R3 Japanese Grand Prix,3,Charles Leclerc,5.0,4,1.0,0.0,clean,False,2025
56,2025 R4 Bahrain Grand Prix,29,Kimi Antonelli,5.0,11,6.0,0.30000000000000004,moderate,False,2025
57,2025 R5 Saudi Arabian Grand Prix,29,Kimi Antonelli,5.0,6,1.0,0.5,moderate,False,2025
60,2025 R6 Miami Grand Prix,6,George Russell,5.0,3,2.0,1.0,chaotic,False,2025
58,2025 R7 Emilia Romagna Grand Prix,15,Alexander Albon,5.0,5,0.0,0.5,moderate,False,2025
59,2025 R8 Monaco Grand Prix,1,Max Verstappen,5.0,4,1.0,0.5,moderate,False,2025
77,2025 R9 Spanish Grand Prix,3,Charles Leclerc,5.0,3,2.0,0.5263157894736842,moderate,False,2025
78,2025 R10 Canadian Grand Prix,11,Lando Norris,5.0,18,13.0,0.75,chaotic,True,2025
79,2025 R11 Austrian Grand Prix,6,George Russell,5.0,5,0.0,0.75,chaotic,False,2025
80,2025 R12 British Grand Prix,7,Lewis Hamilton,5.0,4,1.0,1.0,chaotic,False,2025
81,2025 R13 Belgian Grand Prix,6,George Russell,5.0,5,0.0,0.0,clean,False,2025
82,2025 R14 Hungarian Grand Prix,5,Fernando Alonso,5.0,5,0.0,0.25,moderate,False,2025
54,2025 R1 Australian Grand Prix,18,Oscar Piastri,6.0,9,3.0,1.5,chaotic,False,2025
61,2025 R2 Chinese Grand Prix,29,Kimi Antonelli,6.0,6,0.0,0.4,moderate,False,2025
55,2025 R3 Japanese Grand Prix,29,Kimi Antonelli,6.0,6,0.0,0.0,clean,False,2025
56,2025 R4 Bahrain Grand Prix,1,Max Verstappen,6.0,6,0.0,0.30000000000000004,moderate,False,2025
57,2025 R5 Saudi Arabian Grand Prix,11,Lando Norris,6.0,4,2.0,0.5,moderate,False,2025
60,2025 R6 Miami Grand Prix,15,Alexander Albon,6.0,5,1.0,1.0,chaotic,False,2025
58,2025 R7 Emilia Romagna Grand Prix,4,Carlos Sainz,6.0,8,2.0,0.5,moderate,False,2025
59,2025 R8 Monaco Grand Prix,23,Isack Hadjar,6.0,6,0.0,0.5,moderate,False,2025
77,2025 R9 Spanish Grand Prix,7,Lewis Hamilton,6.0,6,0.0,0.5263157894736842,moderate,False,2025
78,2025 R10 Canadian Grand Prix,7,Lewis Hamilton,6.0,6,0.0,0.75,chaotic,False,2025
79,2025 R11 Austrian Grand Prix,25,Liam Lawson,6.0,6,0.0,0.75,chaotic,False,2025
80,2025 R12 British Grand Prix,3,Charles Leclerc,6.0,14,8.0,1.0,chaotic,False,2025
81,2025 R13 Belgian Grand Prix,15,Alexander Albon,6.0,6,0.0,0.0,clean,False,2025
82,2025 R14 Hungarian Grand Prix,8,Lance Stroll,6.0,7,1.0,0.25,moderate,False,2025
54,2025 R1 Australian Grand Prix,3,Charles Leclerc,7.0,8,1.0,1.5,chaotic,False,2025
61,2025 R2 Chinese Grand Prix,9,Esteban Ocon,7.0,5,2.0,0.4,moderate,False,2025
55,2025 R3 Japanese Grand Prix,7,Lewis Hamilton,7.0,7,0.0,0.0,clean,False,2025
56,2025 R4 Bahrain Grand Prix,20,Pierre Gasly,7.0,7,0.0,0.30000000000000004,moderate,False,2025
57,2025 R5 Saudi Arabian Grand Prix,7,Lewis Hamilton,7.0,7,0.0,0.5,moderate,False,2025
60,2025 R6 Miami Grand Prix,3,Charles Leclerc,7.0,7,0.0,1.0,chaotic,False,2025
58,2025 R7 Emilia Romagna Grand Prix,3,Charles Leclerc,7.0,6,1.0,0.5,moderate,False,2025
59,2025 R8 Monaco Grand Prix,9,Esteban Ocon,7.0,7,0.0,0.5,moderate,False,2025
77,2025 R9 Spanish Grand Prix,23,Isack Hadjar,7.0,7,0.0,0.5263157894736842,moderate,False,2025
78,2025 R10 Canadian Grand Prix,3,Charles Leclerc,7.0,5,2.0,0.75,chaotic,False,2025
79,2025 R11 Austrian Grand Prix,1,Max Verstappen,7.0,18,11.0,0.75,chaotic,True,2025
80,2025 R12 British Grand Prix,20,Pierre Gasly,7.0,6,1.0,1.0,chaotic,False,2025
81,2025 R13 Belgian Grand Prix,14,Yuki Tsunoda,7.0,13,6.0,0.0,clean,False,2025
82,2025 R14 Hungarian Grand Prix,1,Max Verstappen,7.0,9,2.0,0.25,moderate,False,2025
54,2025 R1 Australian Grand Prix,20,Pierre Gasly,8.0,11,3.0,1.5,chaotic,False,2025
61,2025 R2 Chinese Grand Prix,15,Alexander Albon,8.0,7,1.0,0.4,moderate,False,2025
55,2025 R3 Japanese Grand Prix,23,Isack Hadjar,8.0,8,0.0,0.0,clean,False,2025
56,2025 R4 Bahrain Grand Prix,7,Lewis Hamilton,8.0,5,3.0,0.30000000000000004,moderate,False,2025
57,2025 R5 Saudi Arabian Grand Prix,4,Carlos Sainz,8.0,8,0.0,0.5,moderate,False,2025
60,2025 R6 Miami Grand Prix,7,Lewis Hamilton,8.0,8,0.0,1.0,chaotic,False,2025
58,2025 R7 Emilia Romagna Grand Prix,7,Lewis Hamilton,8.0,4,4.0,0.5,moderate,False,2025
59,2025 R8 Monaco Grand Prix,15,Alexander Albon,8.0,9,1.0,0.5,moderate,False,2025
77,2025 R9 Spanish Grand Prix,29,Kimi Antonelli,8.0,18,10.0,0.5263157894736842,moderate,True,2025
78,2025 R10 Canadian Grand Prix,5,Fernando Alonso,8.0,7,1.0,0.75,chaotic,False,2025
79,2025 R11 Austrian Grand Prix,5,Fernando Alonso,8.0,7,1.0,0.75,chaotic,False,2025
80,2025 R12 British Grand Prix,5,Fernando Alonso,8.0,9,1.0,1.0,chaotic,False,2025
81,2025 R13 Belgian Grand Prix,7,Lewis Hamilton,8.0,7,1.0,0.0,clean,False,2025
82,2025 R14 Hungarian Grand Prix,24,Gabriel Bortoleto,8.0,6,2.0,0.25,moderate,False,2025
54,2025 R1 Australian Grand Prix,7,Lewis Hamilton,9.0,10,1.0,1.5,chaotic,False,2025
61,2025 R2 Chinese Grand Prix,7,Lewis Hamilton,9.0,19,10.0,0.4,moderate,True,2025
