event_name,mae,total_drivers,race_category,affected_drivers
2025 R3 Japanese Grand Prix,1.1,20,clean,0
2025 R4 Bahrain Grand Prix,2.3,20,moderate,2
2025 R13 Belgian Grand Prix,1.5,20,clean,0
2025 R12 British Grand Prix,3.5,20,chaotic,4
2025 R11 Austrian Grand Prix,2.7,20,chaotic,3
2025 R10 Canadian Grand Prix,2.7,20,chaotic,3
2025 R9 Spanish Grand Prix,2.8947368421052633,19,moderate,2
2025 R8 Monaco Grand Prix,1.7,20,moderate,2
2025 R7 Emilia Romagna Grand Prix,2.7,20,moderate,2
2025 R6 Miami Grand Prix,2.1,20,chaotic,4
2025 R5 Saudi Arabian Grand Prix,2.2,20,moderate,2
2025 R2 Chinese Grand Prix,3.9,20,moderate,4
2025 R1 Australian Grand Prix,4.0,20,chaotic,6
2025 R14 Hungarian Grand Prix,2.0,20,moderate,1
2025 R15 Dutch Grand Prix,6.3,20,chaotic,3
2025 R16 Italian Grand Prix,2.6,20,clean,0
2025 R17 Azerbaijan Grand Prix,2.7,20,moderate,1
2025 R18 Singapore Grand Prix,2.3,20,clean,0
2025 R19 United States Grand Prix,2.9,20,moderate,1
2025 R20 Mexico City Grand Prix,3.8,20,chaotic,4
2025 R22 Las Vegas Grand Prix,5.5,20,chaotic,5
2025 R21 São Paulo Grand Prix,4.2,20,chaotic,3
2025 R23 Qatar Grand Prix,3.4,20,chaotic,4
