event_id,year,round,name,circuit_name,circuit_country,date
54,2025,1,Australian Grand Prix,Melbourne,Australia,2025-03-16
61,2025,2,Chinese Grand Prix,Shanghai,China,2025-03-23
55,2025,3,Japanese Grand Prix,Suzuka,Japan,2025-04-06
56,2025,4,Bahrain Grand Prix,Sakhir,Bahrain,2025-04-13
57,2025,5,Saudi Arabian Grand Prix,Jeddah,Saudi Arabia,2025-04-20
60,2025,6,Miami Grand Prix,Miami,United States,2025-05-04
58,2025,7,Emilia Romagna Grand Prix,Imola,Italy,2025-05-18
59,2025,8,Monaco Grand Prix,Monaco,Monaco,2025-05-25
77,2025,9,Spanish Grand Prix,Barcelona,Spain,2025-06-01
78,2025,10,Canadian Grand Prix,Montréal,Canada,2025-06-15
79,2025,11,Austrian Grand Prix,Spielberg,Austria,2025-06-29
80,2025,12,British Grand Prix,Silverstone,United Kingdom,2025-07-06
81,2025,13,Belgian Grand Prix,Spa-Francorchamps,Belgium,2025-07-27
82,2025,14,Hungarian Grand Prix,Budapest,Hungary,2025-08-03
83,2025,15,Dutch Grand Prix,Zandvoort,Netherlands,2025-08-31
84,2025,16,Italian Grand Prix,Monza,Italy,2025-09-07
85,2025,17,Azerbaijan Grand Prix,Baku,Azerbaijan,2025-09-21
86,2025,18,Singapore Grand Prix,Marina Bay,Singapore,2025-10-05
87,2025,19,United States Grand Prix,Austin,United States,2025-10-19
88,2025,20,Mexico City Grand Prix,Mexico City,Mexico,2025-10-26
89,2025,21,São Paulo Grand Prix,São Paulo,Brazil,2025-11-09
90,2025,22,Las Vegas Grand Prix,Las Vegas,United States,2025-11-22
